danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.57,0.974,3,-0.173,0,0.325,0.115,0.000594,0.125,0.65,171.958,audio_features,2WTHLEVjfefbGoW7F3dXIg,spotify:track:2WTHLEVjfefbGoW7F3dXIg,https://api.spotify.com/v1/tracks/2WTHLEVjfefbGoW7F3dXIg,https://api.spotify.com/v1/audio-analysis/2WTHLEVjfefbGoW7F3dXIg,240440,4
0.543,0.996,6,-0.174,1,0.131,0.0456,0.000174,0.368,0.314,118.041,audio_features,0hCM47xRb2Y01HO5Zx19jq,spotify:track:0hCM47xRb2Y01HO5Zx19jq,https://api.spotify.com/v1/tracks/0hCM47xRb2Y01HO5Zx19jq,https://api.spotify.com/v1/audio-analysis/0hCM47xRb2Y01HO5Zx19jq,182493,4
0.564,0.969,7,-0.174,1,0.0708,0.555,0.0,0.656,0.85,149.991,audio_features,27dkwVWpsoj2mMpZraMcXy,spotify:track:27dkwVWpsoj2mMpZraMcXy,https://api.spotify.com/v1/tracks/27dkwVWpsoj2mMpZraMcXy,https://api.spotify.com/v1/audio-analysis/27dkwVWpsoj2mMpZraMcXy,225399,4
0.634,0.988,4,-0.201,1,0.043,0.0469,0.000684,0.495,0.91,128.022,audio_features,1c6C2wg7PRbPBRRUaEvheC,spotify:track:1c6C2wg7PRbPBRRUaEvheC,https://api.spotify.com/v1/tracks/1c6C2wg7PRbPBRRUaEvheC,https://api.spotify.com/v1/audio-analysis/1c6C2wg7PRbPBRRUaEvheC,242827,4
0.686,0.901,0,-0.21,1,0.0614,0.0699,0.0,0.306,0.571,98.977,audio_features,6rVCUwfnuYTAsX4P9fIdIu,spotify:track:6rVCUwfnuYTAsX4P9fIdIu,https://api.spotify.com/v1/tracks/6rVCUwfnuYTAsX4P9fIdIu,https://api.spotify.com/v1/audio-analysis/6rVCUwfnuYTAsX4P9fIdIu,204933,4
0.56,0.979,4,-0.247,0,0.0578,0.0147,0.0,0.244,0.954,167.106,audio_features,6ytXAfSTo0lVoEbmlFOzXI,spotify:track:6ytXAfSTo0lVoEbmlFOzXI,https://api.spotify.com/v1/tracks/6ytXAfSTo0lVoEbmlFOzXI,https://api.spotify.com/v1/audio-analysis/6ytXAfSTo0lVoEbmlFOzXI,185200,4
0.511,0.973,1,-0.256,1,0.0885,0.0259,0.00942,0.646,0.542,135.782,audio_features,7IvaSXEgKWqWw8yAVB2GNU,spotify:track:7IvaSXEgKWqWw8yAVB2GNU,https://api.spotify.com/v1/tracks/7IvaSXEgKWqWw8yAVB2GNU,https://api.spotify.com/v1/audio-analysis/7IvaSXEgKWqWw8yAVB2GNU,217067,4
0.455,0.974,7,-0.283,1,0.155,0.122,0.0288,0.321,0.447,160.012,audio_features,4f76kDSwAIS8iuxpvMAHya,spotify:track:4f76kDSwAIS8iuxpvMAHya,https://api.spotify.com/v1/tracks/4f76kDSwAIS8iuxpvMAHya,https://api.spotify.com/v1/audio-analysis/4f76kDSwAIS8iuxpvMAHya,208227,4
0.616,0.969,1,-0.335,1,0.251,0.0657,0.0,0.328,0.692,95.217,audio_features,3B5oWP5FTznd1Fl5XeKVDe,spotify:track:3B5oWP5FTznd1Fl5XeKVDe,https://api.spotify.com/v1/tracks/3B5oWP5FTznd1Fl5XeKVDe,https://api.spotify.com/v1/audio-analysis/3B5oWP5FTznd1Fl5XeKVDe,201453,4
0.391,0.969,10,-0.339,0,0.126,0.019,0.0,0.0911,0.685,173.247,audio_features,5oG8Ewk6dqsroYdmNFO7nu,spotify:track:5oG8Ewk6dqsroYdmNFO7nu,https://api.spotify.com/v1/tracks/5oG8Ewk6dqsroYdmNFO7nu,https://api.spotify.com/v1/audio-analysis/5oG8Ewk6dqsroYdmNFO7nu,253240,4
0.497,0.942,8,-0.34,1,0.067,0.146,0.0,0.27,0.737,132.063,audio_features,2TMgQYI2BGbrPWiZKopU0u,spotify:track:2TMgQYI2BGbrPWiZKopU0u,https://api.spotify.com/v1/tracks/2TMgQYI2BGbrPWiZKopU0u,https://api.spotify.com/v1/audio-analysis/2TMgQYI2BGbrPWiZKopU0u,241201,4
0.318,0.973,2,-0.358,1,0.0874,0.00214,0.0951,0.318,0.192,134.946,audio_features,0WfaISfFO9TAiudEm07xz9,spotify:track:0WfaISfFO9TAiudEm07xz9,https://api.spotify.com/v1/tracks/0WfaISfFO9TAiudEm07xz9,https://api.spotify.com/v1/audio-analysis/0WfaISfFO9TAiudEm07xz9,257533,4
0.195,0.947,8,-0.377,1,0.0924,0.00414,0.0,0.334,0.595,215.659,audio_features,05tsoZ27CqdXMecyVlZeVu,spotify:track:05tsoZ27CqdXMecyVlZeVu,https://api.spotify.com/v1/tracks/05tsoZ27CqdXMecyVlZeVu,https://api.spotify.com/v1/audio-analysis/05tsoZ27CqdXMecyVlZeVu,233240,4
